Year,Apr,May,Jun,Jul,Aug,Sep,Oct
1981,0.073302469,0.246415771,0.069444444,0.067204301,0.067204301,0.06558642,0.074671446
1982,0.050154321,0.044802867,0.046296296,0.041069295,0.037335723,0.038580247,0.063470729
1983,0.339506173,0.022401434,0.023148148,0.134408602,0.022401434,0.019290123,0.033602151
1984,0.790895062,0.85125448,0.401234568,0.029868578,0.033602151,0.034722222,0.134408602
1985,3.792438272,3.020459976,0.509259259,0.041069295,0.041069295,0.042438272,0.033602151
1986,0.243055556,0.037335723,0.034722222,0.033602151,0.033602151,0.034722222,0.041069295
1987,13.42592593,2.766577061,2.901234568,2.482825568,0.037335723,0.038580247,0.029868578
1988,0.038580247,0.037335723,0.038580247,0.037335723,0.037335723,0.038580247,0.892323775
1989,2.241512346,1.034199522,0.038580247,0.037335723,0.037335723,0.038580247,0.037335723
1990,8.221450617,1.653972521,1.037808642,0.037335723,0.037335723,0.038580247,0.033602151
1991,0.034722222,0.033602151,0.030864198,0.029868578,0.029868578,0.030864198,0.037335723
1992,0.027006173,0.026135006,0.023148148,0.022401434,0.022401434,0.023148148,0.026135006
1993,0.019290123,0.018667861,0.019290123,0.018667861,0.018667861,0.019290123,0.018667861
1994,0.906635802,0.406959379,0.019290123,0.018667861,0.018667861,0.019290123,0.018667861
1995,6.450617284,6.111857826,4.020061728,5.144862605,0.918458781,0.050154321,0.018667861
1996,18.81944444,3.438620072,1.670524691,2.217741935,0.052270012,0.054012346,0.04853644
1997,0.354938272,0.04853644,0.050154321,0.358422939,0.044802867,0.042438272,0.052270012
1998,10.43209877,3.97625448,2.326388889,3.397550777,0.033602151,0.034722222,0.041069295
1999,217.195216,8.852299881,6.257716049,4.573626045,0.08213859,0.084876543,0.033602151
2000,3.68441358,1.79958184,1.057098765,1.933990442,0.078405018,0.081018519,0.291218638
2001,0.648148148,0.078405018,0.077160494,0.757915173,0.070937873,0.069444444,0.078405018
2002,0.054012346,0.052270012,0.050154321,0.04853644,0.044802867,0.046296296,0.063470729
2003,13.3912037,1.885454002,0.547839506,0.037335723,0.037335723,0.038580247,0.041069295
2004,0.034722222,0.033602151,0.034722222,0.033602151,0.033602151,0.030864198,0.033602151
2005,9.513888889,2.800179211,1.385030864,1.84811828,0.041069295,0.042438272,0.029868578
2006,0.038580247,0.037335723,0.038580247,0.037335723,0.037335723,0.038580247,0.041069295
2007,0.933641975,0.041069295,0.038580247,0.037335723,0.037335723,0.038580247,0.037335723
2008,2.287808642,0.552568698,0.115740741,0.029868578,0.029868578,0.027006173,0.033602151
2009,11.05324074,5.69369773,1.292438272,0.026135006,0.026135006,0.027006173,0.026135006
